Results_ID,Result_group,Age_general,Age_min,Age_max,Age_original,Population_gender,Indigenous_status,Indigenous_population,Country,Jurisdiction,Specific_location,Year_start,Year_stop,Observation_time_years,Numerator,Denominator,Point_estimate,Measure,Interpolated_from_graph,Age_standardisation,Dataset_name,Proportion,Mortality_flag,Recurrent_ARF_flag,GAS_attributable_fraction,Defined_ARF,Focus_of_study,Notes
2011DAVI,Invasive GAS,Adult,16,999,Adults (16y+),N/A,N/A,N/A,Australia,Northern Terrirtory,Royal Darwin hospital ,2007,2008,1,48,541,8.9,percentage of GAS+ as identified pathogen,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2017YEOH,Superficial Skin and Throat,Children,0,16,Children (<16y),General,Not Defined,Not Defined,Australia,Victoria,Melbourne,2009,2011,3,69,4817,0.0143242682167324,Proportion of ED skin presentations due to impetigo,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
1999CARA,Invasive GAS,All,0,999,All (mean 41.7y),General,N/A,N/A,Australia,Northern Terrirtory,Royal Darwin hospital ,1991,1996,6,72,N/A,9.3,"GAS bacteraemia crude incidence per 100,000 (all)",0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,0,16,Children (<16y),Non-Indigenous,No,Not Applicable,Australia,Northern Territory,Top End community 1,2003,2005,2,77,260,0.296153846153846,GAS swab positivity in all pyoderma episodes (<15y),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2007DANC,Superficial Skin and Throat,Adult,18,999,Adults (>18y),General,Not Defined,Not Defined,Australia,Northern Territory,1X remote NT community East Arnhem Land,2001,2005,5,81,99,0.82,Proportion of children presenting with impetigo in first year of life,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2011MCME,Superficial Skin and Throat,Infant,0,2,Infants (<2y),Indigenous,Yes,Aboriginal,Australia,Western Australia,Kimberley & Pilbara (Broome Hospital and Hedland Health Campus),2015,2016,1,84,156,0.532,prevalence of all skin infections (prospective arm),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2007DANC,Superficial Skin and Throat,Children,5,12,Children (5-12y),General,Not Defined,Not Defined,Australia,Northern Territory,1X remote NT community East Arnhem Land,2001,2005,5,86,99,0.87,Proportion of children presenting with impetigo within first two years of life,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,1,4,Children (1-4y),Non-Indigenous,No,Not Applicable,Australia,Northern Territory,Top End community 1,2003,2005,2,86,287,0.299651567944251,GAS swab positivity in all pyoderma episodes (all ages),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,10,15,Children (10-15y),Indigenous,Yes,Aboriginal,Australia,Western Australia,5X remote NT communities,2001,2006,6,88,320,0.28,Proportion presenting with throat infections with first year of life,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2006MCDO,Superficial Skin and Throat,Children,0,15,Children (<15y),Indigenous,Yes,Aboriginal,Australia,Western Australia,"4X remote WA communities, Western Desert region",2007,2012,6,104,231,0.45021645021645,Proportion of children attending PHC for sore throats,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2004NORT,Invasive GAS,All,0,999,All,Indigenous,N/A,N/A,Australia,Queensland,North Qld,1996,2001,6,109,N/A,82.5,"iGas incidence per 100,000 (Indigenous, crude)",0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2004NORT,Invasive GAS,All,0,999,All,Non-Indigenous,N/A,N/A,Australia,Queensland,North Qld,1996,2001,6,109,N/A,10.13,"iGas incidence per 100,000 (non-Indigenous, crude)",0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2011DAVI,Invasive GAS,Adult,16,999,Adults (16y+),N/A,N/A,N/A,Australia,Northern Terrirtory,Royal Darwin hospital ,2007,2008,1,111,1191,80.33,"age-adjusted population based sepsis mortality rate per 100,000",0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2018HEND,Superficial Skin and Throat,Children,0,6,Children (<6y),Indigenous,Yes,Aboriginal,Australia,Victoria,Melbourne,2009,2011,3,135,4817,0.0280257421631721,Proportion of ED skin presentations due to non-specific skin infections,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2006MCDO,Superficial Skin and Throat,Children,0,15,Children (<15y),Indigenous,Yes,Aboriginal,Australia,Northern Territory,3X top end NT Aboriginal communities,2003,2005,2,151,2694,0.0560504825538233,GAS throat swab positivity in study population (<15y),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2006MCDO,Superficial Skin and Throat,Children,0,15,Children (<15y),Indigenous,Yes,Aboriginal,Australia,Western Australia,"4X remote WA communities, Western Desert region",2007,2012,6,167,231,0.722943722943723,Proportion of children attending PHC for skin sores,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2006MCDO,Superficial Skin and Throat,All,0,999,All,Indigenous,Yes,Aboriginal,Australia,Western Australia,"4X remote WA communities, Western Desert region",2007,2012,6,214,7504,0.0285181236673774,Proportion of PHC attendances with sore throats,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2006MCDO,Superficial Skin and Throat,All,0,999,All,Indigenous,Yes,Aboriginal,Australia,Northern Territory,3X top end NT Aboriginal communities,2003,2005,2,216,4842,0.0446096654275093,GAS throat swab positivity in study population (all ages),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2006MCDO,Superficial Skin and Throat,All,0,999,All,Indigenous,Yes,Aboriginal,Australia,Western Australia,5X remote NT communities,2001,2006,6,262,320,0.82,Proportion presenting with skin sores with first year of life,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2014LAIK,Superficial Skin and Throat,Adult,15,999,Adults (>15y),General,Not Defined,Not Defined,Australia,Victoria,Melbourne,2009,2011,3,536,4817,0.111272576292298,Proportion of ED skin presentations due to cellulitis,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2006MCDO,Superficial Skin and Throat,All,0,999,All,Indigenous,Yes,Aboriginal,Australia,Western Australia,"4X remote WA communities, Western Desert region",2007,2012,6,935,7504,0.124600213219616,Proportion of PHC attendances for skin sores,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2014LAIK,Superficial Skin and Throat,Adult,15,999,Adults (>15y),General,Not Defined,Not Defined,Australia,Victoria,Melbourne,2009,2011,3,1741,4817,0.361428274859871,Proportion of ED skin presentations due to boils/furnuncles/pilonoidal sinuses,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2013GRAY,ARF,Adult,25,34,Adults,Females,Indigenous,Aboriginal ,Australia,NT,NT,2007,2010,3,N/A,N/A,60,"incidence rate per 100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2013GRAY,ARF,Adult,15,24,Adolescents & adults,Females,Indigenous,Aboriginal,Australia,NT,NT,2007,2010,3,N/A,N/A,130,"incidence rate per 100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2022AIHW,ARF,Adult,45,64,Middle age Adults,Females,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,0.5,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,35,44,Young adults ,Females,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,2.4,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,65,999,Elderly adults only,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,3.2,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,25,34,Young adults ,Females,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,4.1,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,15,24,Adolescents &Young adults ,Females,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,7.5,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,45,64,Middle age Adults,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,15.8,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,35,44,Young adults ,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,67.1,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,25,34,Young adults ,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,92.8,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,15,24,Adolescents &Young adults ,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,112.2,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2013GRAY,ARF,All,5,34,All,Females,Indigenous,Aboriginal,Australia,NT,NT,2007,2010,3,N/A,N/A,110,"incidence rate per 100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2021AIHWARF,ARF,All,0,999,All,Females,General,N/A,Australia,"NT, QLD, WA, SA",N/A,2019,2019,1,N/A,N/A,3.6,ARF recurrence rate after BPG per 100- patient years,N/A,N/A,N/A,N/A,No,Yes,N/A,Yes,N/A,N/A
2022AIHW,ARF,All,0,999,All,Females,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,0.2,"crude-age specific death rates (ARF only and no RHD) per 100,000 population ",N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A
2022AIHW,ARF,All,0,999,All,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,4.7,"crude-age specific death rates (ARF only and no RHD) per 100,000 population ",N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A
2004AIHW,ARF,All,0,999,All,Females,Non Indigenous,Torres Straight Islander,Australia,"NT, QLD, SA, WA","NT, Queensland, SA and WA",2000,2002,2,N/A,N/A,1,Standardised mortality ratio (SMR) of ARF/RHD,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A
2004AIHW,ARF,All,0,999,All,Females,Indigenous,Aboriginal/TSI,Australia,"NT, QLD, SA, WA","NT, Queensland, SA and WA",2000,2002,2,N/A,N/A,21.1,Standardised mortality ratio (SMR) of ARF/RHD,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A
2021AIHWARF,ARF,All,0,999,All,Females,Indigenous,Aboriginal/TSI,Australia,N/A,N/A,2015,2019,4,N/A,N/A,107,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,All,0,999,All,Females,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,3.3,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,All,0,999,All,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,12.6,"incidence rate of possible ARF per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,All,0,999,All,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,73.7,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,All,0,999,All,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,73.7,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,All,0,999,All,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,73.7,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2013LAWR,ARF,Children,5,14,Children,Females,Indigenous,Torres Straight Islander,Australia,NT,NT,1997,2010,13,N/A,N/A,228,"incidence rate of first ARF per 100,000 estimated resident population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2013GRAY,ARF,Children,5,14,Children,Females,Indigenous,Aboriginal,Australia,NT,NT,2007,2010,3,N/A,N/A,280,"incidence rate per 100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2022AIHW,ARF,Children,0,4,Children,Females,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,1.4,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Children,5,14,Children & adolescents,Females,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,9.9,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Children,0,4,Children ,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,19.2,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Children,5,14,Children & adolescents,Females,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,122.7,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2007DANC,Superficial Skin and Throat,Adolescents,13,18,Adolescents (13-18y),General,Not Defined,Not Defined,Australia,Western Australia,Great Southern,1996,2012,17,N/A,N/A,1.3,skin infection hospital admissions per 1000 non-Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2007DANC,Superficial Skin and Throat,Adolescents,13,18,Adolescents (13-18y),General,Not Defined,Not Defined,Australia,Western Australia,WA,1996,2012,17,N/A,N/A,1.5,hospital admissions for skin infections per 1000 non-Aboriginal child-years (91-100% IRSAD),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2007DANC,Superficial Skin and Throat,Adolescents,13,18,Adolescents (13-18y),General,Not Defined,Not Defined,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,12.8,GAS pharyngitis incidence per 100 person-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2007DANC,Superficial Skin and Throat,Adolescents,13,18,Adolescents (13-18y),General,Not Defined,Not Defined,Australia,Northern Territory,3X top end NT Aboriginal communities,2004,2005,1,N/A,N/A,19,sore throat episodes per 100 person-years (all ages),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2007OGRA,Invasive GAS,Adult,60,999,Elderly adults,General,N/A,N/A,Australia,Victoria,Vic,2002,2004,2.4,N/A,N/A,35,"iGAS incidence per 100,000 (>95yo)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Goldfields,2010,2010,1,N/A,N/A,~125,"lower leg cellulitis incidence per 100,000  (2010, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Great Southern,2010,2010,1,N/A,N/A,~150,"lower leg cellulitis incidence per 100,000  (2010, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Pilbara,2010,2010,1,N/A,N/A,~150,"lower leg cellulitis incidence per 100,000  (2010, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Wheatbelt,2010,2010,1,N/A,N/A,~150,"lower leg cellulitis incidence per 100,000  (2010, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Pilbara,2012,2012,1,N/A,N/A,~150,"lower leg cellulitis incidence per 100,000  (2012, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Goldfields,2012,2012,1,N/A,N/A,~170,"lower leg cellulitis incidence per 100,000  (2012, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Perth metro,2010,2010,1,N/A,N/A,~175,"lower leg cellulitis incidence per 100,000  (2010, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Great Southern,2012,2012,1,N/A,N/A,~175,"lower leg cellulitis incidence per 100,000  (2012, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,South West,2010,2010,1,N/A,N/A,~200,"lower leg cellulitis incidence per 100,000  (2010, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Midwest,2012,2012,1,N/A,N/A,~200,"lower leg cellulitis incidence per 100,000  (2012, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Perth metro,2012,2012,1,N/A,N/A,~200,"lower leg cellulitis incidence per 100,000  (2012, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,South West,2012,2012,1,N/A,N/A,~200,"lower leg cellulitis incidence per 100,000  (2012, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Wheatbelt,2012,2012,1,N/A,N/A,~200,"lower leg cellulitis incidence per 100,000  (2012, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Midwest,2010,2010,1,N/A,N/A,~250,"lower leg cellulitis incidence per 100,000  (2010, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Kimberley,2010,2010,1,N/A,N/A,~300,"lower leg cellulitis incidence per 100,000  (2010, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019MANN,Invasive GAS,Adult,16,999,Adults (>16y),General,N/A,N/A,Australia,Western Australia,Kimberley,2012,2012,1,N/A,N/A,~350,"lower leg cellulitis incidence per 100,000  (2012, interpolated)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2019OLIVb,Invasive GAS,Adult,60,999,Elderly (60y+),General,N/A,N/A,Australia,N/A,N/A,2007,2017,10,N/A,N/A,4.7,"iGAS incidence per 100,000 elderly people",0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2014LAIK,Superficial Skin and Throat,Adult,15,999,Adults (>15y),General,Not Defined,Not Defined,Australia,Victoria,Melbourne,2009,2011,3,N/A,N/A,0.039,Proportion of all ED presentations for dermatological conditions,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
